Zone_Num,Centroid_Y,Centroid_X
1,-32.00604,115.85046
2,-32.01773,115.85406
3,-32.02972,115.85626
4,-32.03345,115.86409
5,-32.02578,115.87924
6,-32.02084,115.88933
7,-32.02068,115.89738
8,-32.02511,115.90193
9,-31.96658,115.86146
10,-31.96616,115.88202
11,-31.95602,115.88613
12,-31.94199,115.89001
13,-31.95202,115.90379
14,-31.94078,115.91338
15,-31.93157,115.92585
16,-31.92444,115.93968
17,-31.92184,115.94652
18,-31.91700,115.95605
19,-31.90492,115.96169
20,-31.96976,115.84270
21,-31.97901,115.83446
22,-31.99233,115.84296
23,-31.99872,115.82559
24,-32.01369,115.81576
25,-32.01137,115.79908
26,-31.99537,115.77941
27,-32.00739,115.78233
28,-32.02269,115.77898
29,-32.02567,115.76374
30,-32.03534,115.75993
31,-32.04798,115.74349
